tweet,sentiment
Damn it I meant to hit corrupt. your poll is flawed now because of my lack or coordination. My apologies.  But yeah this is to be expected. The DNC will burn itself down and help Trump before they allow Sanders to bring a political revolution.,Strong Negative
PRICELESS! Commie Warren loses again. That woman could never tell the truth and never will.,Strong Negative
I hope yang exceeds your expectations but you have been right so far. Love the videos and the negative comments make me laugh,Positive
"He is saying stop pandering and getting distracted by stupid stuff that alienates large portions of your voters. He seems to think that Warren has what it takes but is getting bad advice, hopes that she will come to her senses and tack right. Has less faith in others.",Positive
"Iowa should not be the first, and the caucus model is stupid.",Strong Negative
Bernie Sanders lost Iowa   #turnmeoninfourwords,Neutral
Thankfully he move out of Massachusetts. Unfortunately we have the embarassment of Lizzie Warren and Markey. Never mind McGovern. God help us!  How do they get into office?,Neutral
No. In and out baby,Neutral
"Want to vote in the NY Presidential Primary on April 28th? You need to be registered with a party to do so. Register with a party or change your affiliation by this Friday, February 14th, to VOTE! ",Neutral
"I live in NJ & work b/w NJ & NY & I have to tell you that most ppl I knew liked Bloomberg as mayor. How the fuck did he get NYers to agree to CHANGE THE LAW so he could be mayor for a 3rd term? You can't get NY'ers to agree on ANYTHING.  I don't WANT to vote for him, but I will.",N/A
can you hold off a bit? was a bit early last time,Neutral
"It's ok, he is a Dem, no big deal if one of their own does this crap.",Negative
I cannot wait!,Negative
Thankfully he move out of Massachusetts. Unfortunately we have the embarassment of Lizzie Warren and Markey. Never mind McGovern. God help us!  How do they get into office?,Strong Negative
"Well, thats...jumping the shark on a run. Biden going 0 for 3?",Neutral
"So no one saw the video because it wasn't ""Biden snubs climate protestors""    Who cares about video that is real ""Climate Protestors scream and yell then snub Joe Biden when he goes to talk to them""",Neutral
Bloomberg will eat Trump & spit him out.,Strong Negative
Who the fuck is actually voting for Buttigieg tho? #IowaCaucas,Strong Negative
"Methinks you are so ingrained in Bernie that you can't see anything else as possibilities. BTW, amazingly Sanders has gained almost a thousand votes in Black Hawk county with now 95% of the votes. The vote-counting is a clustercluck, but I'm not going down the conspiracy road.",Negative
Anyone: [asks me about my political views] Me: [In Hank Hill voice] do I look like I know what a buttigieg is,Neutral
"Yes, it was the trial that was divisive, not the bigotry and the crimes.  Bloomberg, you suck.",Negative
Biden is your only choice?,Neutral
Welcome aboard! The Dems have to be big on dividing people-its all they have . Dem party platform is  socialist goals( really communist)  and dividing people is part of a 50 year communist plan to get your freedom and power. It's amazing if one looks up CPUSA goals from the 60s,Negative
Maybe pick a dem candidate and support the hell out of them.,Negative
"I am not saying he didn't. Who said ""sanders did not win the popular vote?"" I find this whole Iowa system to be ridiculous  in every way.",Negative
"Want to vote in the NY Presidential Primary on April 28th? You need to be registered with a party to do so. Register with a party or change your affiliation by this Friday, February 14th, to VOTE! ",Positive
Bernie Sanders lost Iowa   #turnmeoninfourwords,Negative
No. In and out baby,Neutral
I hope that's true as the corrupt Democrat party leaders were trying to screw him over.  Honesty is needed in our elections so everyone needs to keep their eyes on Democrats and NOT worry about THE RUSSIANS!,Strong Negative
@ninaturner the polls had Bernie with a lead in Iowa. THE DNC IS SCREWING HIM ONCE AGAIN!  I WILL NEVER VOTE FOR THAT CORPORATE MOTHER F#CKER BUTTIGIEG!   I WOULD RATHER VOTE TRUMP OUT OF SPITE!  BERNIE/TULSI 2020 OR BUST!  Peace out.,Strong Negative
"So Klobuchar has a limited name recognition it would seem...but those that know her like her.  This admittedly a very flattering poll for Amy, but more will be checking her out after New Hampshire perhaps? pic.twitter.com/ppt8UaWJTD",Positive
This is where Marxists like @MikeBloomberg received his commandment to outlaw Guns.  Poor little Dunce is now working for Vladimir Putin while honoring Vladimir Lenin & Karl Marx.  #Bloomberg #bloombergfacts #bloomberginnovationindex #MikeBloomberg #MikeBloomberg2020pic.twitter.com/RBHP2ncKnZ,Strong Positive
"He does; he plans on taking away what little some have and going back to his cronies getting wealthier, claims being denied, people forced to use Emergency Rooms for primary care, and many more people dying because they can't access care. That's his plan.",Negative
America has a chance to save the forrest and the trees with Bloomberg. The fact he made serious cash is of little concern to me. Trump/ Bloomberg debates would end Trump's peverted hold on a whole parcel of good Americans. The union man specifically.  Moms for the children too!,Positive
#UkraineFinalPiece kust watched the video in which Glen Beck thoroughly explains the DNC corruption and the link with Biden.,Strong Negative
You might want to look up Biden's resume before you embarrass yourself.,Negative
All focus should have been about winning the next election. Instead they have sacrificed Biden in a doomed mission. I don't see the US electing a communist or a delusional liar so that leaves Pete,Negative
WTH!!!! Another democrat. Probably has everyone do everything for her!!!,Strong Negative
"Do you want someone who appeals to 16% of the population? Or do you want someone who appeals to 60% of the population?  In binary, the more of them voting for us the Less they have voting for them. If Sanders is the nom, that 42% goes to trump. If yang. That 42% comes from trump",Neutral
PATRICK E FABIO TESTI HHAHAHAHHAHAHAHHAH #gfvip,Negative
"annnnd you can now hear the ""pin"" drop as those that want to run the Country, can't even run a caucus....",Negative
"them from the debates because of money requirements. And polling requirements. Because money requirements kept them from getting to the the debates. , they got no exposure so they did not do well in polls. Sanders set it up. So that only people who could raise a lot of money as",Negative
"Whatever u say whatever u do u will always be the petty crook who got impeached. The narcissist too stupid to hide his crimes. The joke the world laughs at. The victors write history my friend. If Dem is next they'll crucify u, a Rep will distance themselves, blame u 4 whats next",Strong Negative
not likely. The Biden's on the other hand... May not wind up as fortunate.,Negative
Fuck it! A Sanders-Williamson-Klobuchar-Yang-Gabbard ticket!  The only polycule I will ever support!,Negative
"For Sanders, quite a moment. I was with him in Iowa years ago when he drew a small crowd at the Drake diner. His strategist, months earlier, was running a comic book store. Clinton seemed inevitable and his support was fledgling, to say the least. Now he commands a movement.",Neutral
Did Warren supporters ask for your advice?,Neutral
"Joe Biden was simultaneously caucusing in Iowa, Ohio, and Idaho last night his numbers might be skewed.  #IowaCaucas",Neutral
"What movement? Yang ain't running on a progressive platform, and most of his online supporters have been attacking Sanders' people for months.",Negative
"You are correct though.  What you left off was hope that REAL Republicans would act against those Trump Republicans that have taken over the appearance of what Republicans represent.    Either way, a ONE party system is no god damned good for anyone, Democrat or Republican.",Negative
Shes voting Democrat when most of them want 3rd trimester abortions. She seems greatly Ill informed?,Negative
"they've been straight up reporting the iowa results as a buttigieg victory since tuesday, which is now much harder to do because of the AP projection. again, this obviously isn't an unalloyed positive for sanders, which is why i said ""not all bad news.""",Neutral
I cannot wait!,N/A
its like how in UK elections some constituencies r bigger than others. in some areas the votes for buttigieg count for more than they would in other areas. also there are arcane rules for deciding tied or narrow local votes whihc sometimes come down to rounding up or coin tosses,Negative
"The DNC rigged 2016 against Bernie. Electoral College robbed Hillary that same year. Bloomberg is trying to buy the presidency. Caucus results are often determined by coin flip.    The US is not ""democracy"".",Strong Negative
"@MSNBC @HardballChris Bernie Sanders Defines Democratic Socialism, Says When The 99% Stand Up Against the 1% We Can Transform Society",Positive
"Citi Trends, even. They STILL playing that commercial with Dem Franchize Boyz in it.",Neutral
He doesn't take huge sums of money from a super pac.... Bernie and Biden are the ones with Super Pacs,Neutral
"I just told you that he tried to do that but couldn't. Because things are VOTED FOR, a MAJORITY rules, not just Bernie Sanders. You can look at ANY house rep's or senator's history and find them voting for acts that contain bills they do not agree with.",Neutral
Stay fight. I am in a Dem district. Winning one vote at a time! We can make the country red.,Positive
big shocker the amazon owned paper is censoring yang,Negative
We doing our best!!  gotta keep Josh outta dem beignets though,Positive
Grandpa Biden... Is Not Funny!,Negative
"#Bernie2020 @SenSanders if they successfully cheat you out of this nomination, you have no choice but to run Independent. Because NONE of us will be voting Democrat. You & @TulsiGabbard as the Independent or Green ticket would win in a landslide.",Neutral
Buttigieg brings nothing to the White House that we or the world can live with.,Neutral
Lmao I said the same thingpic.twitter.com/mz5BPw2OLJ,N/A
glad we all got to spend it with you  bro,Strong Positive
"So many people think voting is mandatory, but if it ends up being Trump vs. Buttigieg? Fuck both of them.",Strong Negative
That only helps if an Independent like Bernie runs that can defeat both Republican & Democrat.,Positive
"#Sanders #Buttigieg almost tied for state delegates, #warren in third. #Sanders in first for popular vote #IowaCaucuses2020",Neutral
Biden getting smoked in these returns. Now we know why his campaign was casting doubt on the  results.,Neutral
I ment no. Exclude my vote I see Yang and I type yes!! My ape roots are strong!!,Strong Negative
lets make it happen an i'll cop the ticket,Positive
Great breakthrough in Iowa's caucus! #IowaCaucusDisaster #IowaCaucas #IowaCaucuses2020pic.twitter.com/eIaYdGt4pV,Positive
"bet lets get itttt, we'll start planning it at the end of this month",Strong Positive
Union is stronger with President. Democrat Socialist have no unity,Negative
"No country has the system Bernie describes. Let's be real. All social medicine countries, even a place like the UK which had a truly socialist system with government owned care centers, all have private insurance markets and doctors. I'm disappointed in Sanders. He can do better.",Negative
No u a democrat   So what does it mean..?,Neutral
"I can't believe some people are saying they won't vote for Bloomberg if he's nominated. That's basically like voting for Trump. It's exactly how we got Trump, because people didn't like Hillary.   How do people not understand this??",Negative
Didn't even know Gabbard was still running lol,Neutral
"@CNN @AndrewYang Andrew Yang is unfit to be President, and unfit to be a CNN commentator. Jackson Rio Holmes",Strong Negative
He did what a good old Democrat does.put all these corrupt politicians in jail.,Positive
"On top of Bernie lavishing praise on the Castro regime in Cuba, the Sandinistas, and the Soviet Union, one of his top advisors - David Sirota - wrote this gem in 2013 for Salon.   Sanders is going to be an unmitigated disaster in a general election if he is the nominee. pic.twitter.com/5J0Bnk62Xx",Neutral
"I have to take a deep breath and try not lose it when I read Cubans, NICARAGUANS, Venezuelans, Ecuadorians and others who have left their Country because of communism and praise Bernie Sanders.  YOU'RE FUCKING IDIOTS. IF you support Bernie Sanders go home & be close to family.",Neutral
Bernie is the enemy Democrat and Republicans unite to fight off this douche,Strong Positive
The language used in the dem debates is just so poor and sad to listen to. Instead of setting an example for what type of language and rhetoric should be used to represent our government the Democratic Party has fallen to the level of who is in the White House now.,Strong Negative
More and more ya better realize def gyal Na want no decent man inna dem life. Better get you a few dozen baby mommas and court cases b,Positive
"If it comes down to it, please pull the Bloomberg lever. Please.",Neutral
"Amy still looks good ..... this is a very annoying example, only Trump can get away with this and make it look funny. More amo for Trump ! Take all your money and support Yang.",Positive
"So neither Trump nor Sanders, I assume?",Neutral
Bloomberg Racist!,Strong Negative
Your analysis of the current news cycle is indisputable. Stay tuned. The primary season has just begun.,Neutral
"so like a white man to justify misogyny and racism in one tweet. Bloomberg and Trump are the same white rich men to all the rest of us. big white thinkers like you are why i stopped getting the Nation. Trump is normal in south dakota, come visit, they're a dime a dozen.",Strong Negative
Republicans are afraid that they will vote Democrat.  RT @NaveedAJamali: Is there a logical reason why Washington DC and Puerto Rico are not states? If north and South Dakota can have representation why not DC and PR?,Negative
"@BillClinton didn't win a single primary until Georgia (he lost the other contests held that day to Harkin, Brown, and Tsongas).   And then before that he had lost the first four contests (Iowa, New Hampshire, Maine, and South Dakota). @JoeBiden is still in the hunt. #Democrats",Neutral
"Korang team bawal lovers ke tuwwww? Ni antara warna warna yang wajib ada dalam wardrobe korang since ,my team baru released bawal collection , so we decided to do GIVEAWAYY. Korang hanya perlu RT and we choose the winner on Sunday  Jangan luper follow ig  @ dakota.scarf pic.twitter.com/Fo25iSqbE0",Strong Positive
"... & almost won Maine, (tied w/ Brown), which both are in New England; - Bob Kerrey was Nebraska senator who won South Dakota comfortably, a neighboring state; - Clinton came strong 2nd in New Hampshire, viable 3rd in Maine & South Dakota unlike Biden's decimation.",Positive
@ripley_dakota be like them quarters at the mall,Neutral
"Fake facts Patrick. Per Forbes: A gauge of consistent, sustained growth is a 10-year window, beginning in 2007 before the recession and continuing until 2017. Over the past decade, the top states by GDP growth are: North Dakota, Texas, Nebraska. Your immoral prez-nota effect!",Neutral
"By the way, Rudy's evidence goes much deeper than Biden.  Because his investigation was focused on corruption and election meddling.",Neutral
"Intellectually, humbly, my Iowa/South Dakota farmer father could have given #Bloomberg quite an education.",N/A
"So why is Msss #Warren still in the race?   ""We all remember Bobby Kennedy was assassinated in June in California,"" Clinton told the editorial board of a South Dakota newspaper. "" I don't understand it,"" Clinton added, alluding to the calls for her to quit.",Neutral
"2018 DEM won running on ACA not M4A in red to purple districts. A divided message from candidates & top of the DEM ticket will cost both. In 2018 Bernie avoided Virginia, Alabama, West Va, Missouri, South Dakota, Pennsylvania, Arizona, Florida & Georgia ?",Negative
"Or South Dakota. He tends to get States mixed up that seem to sound similar by name. Or... Maybe he had a secret meeting with his future running mate: Mitt Romney. Two losers, that couldn't even beat Obama. One joined him, the other's a double-agent-Democrat like John McCain was.",Negative
Or South Dakota.  Clickety Clack! #Biden,Neutral
Someone has to be on the front lines of this posting war against Bloomberg.,Neutral
"A lot of people are asking ""what's next for the Elizabeth Warren campaign?""  On behalf of the campaign, I'll tell you what's next...  2/22 Nevada 2/29 South Carolina 3/3 Super Tuesday 3/10 N. Dakota, Idaho, Michigan, Mississippi, Missouri, Washington 3/14 Northern Marianas  1/3",Neutral
"What I mean is that THIS count is the numbers that Buttigieg went off. Sanders has a different set of polling that rounds him much higher. I'm figuring when the next 30 % comes out, Bernie will be on top with 28, and Buttigieg next with 26/27",Neutral
Incredible forced error from the Biden campaign.,Negative
Iowa caucus: be nice for second choices count. New Hampshire primary: folks have only one vote. Debate strategy changes from bouquets to baseball bats. @juliemason @POTUSPressPool,Neutral
Sanders' biggest risk is the moderates candidates coordinating effectively.,Positive
So frustrated about all the bs attacks from Bernie supporters on Warren when she actually tried to chart out a legislative party for M4A. Constantly claiming she was backpedaling while we all knew Sanders would have to do the same or just never see it become law.,Negative
@SenatorRomney I live in Mass. Usually vote Democrat but voted for Romney. He gave us health care and with this vote has justified my belief in his judgement. Thank you Mitt,Positive
Prove that one of your democrat-socialist candidates can win in the electoral college...PROVE IT!,Negative
You're picking the individual poll where Biden had the worst performance and comparing that to the outcome.,Negative
"Yes.They know he is positioned to overtake them all after the first 4 states primary/caucuses,which he did not enter because he started late.They are treating him like a fellow candidate.They know he's starting to suck the oxygen out of the room, the he's for real.THEY'RE SCARED!",Positive
"He was presumably about to say something like ""Indiana Mayor Pete Buttigieg""",Neutral
"There was some magazine that did a photospread with Pete Buttigieg, and the accompanying caption read ""Blandness can sizzle.""",Strong Negative
"Instead of watching the SOTU, I will be playing video games and making a donation to Bernie Sanders.",Positive
Who is Pete buttigieg,Neutral
The Red Sox handling of the Mookie-Price trade might be a bigger disaster than the Iowa caucus. Discuss.,Negative
Per Gravel: Pete Buttigieg has 1 percent support among Latino Democrats. Donald Trump got 28 percent among Latinos in 2016.  Pete Buttigieg has 0 percent support among black Democrats. Donald Trump got 8 percent among black voters in 2016.  Trump would humiliate Buttigieg.,Negative
"Why are we talking about Bloomberg, Carolina?   It's this lack of focus that causes people to complain about you at work.",Negative
"Biden's reliance on South Carolina reminds me of Jeb! If he hasn't won any state before South Carolina, he probably won't win there either.",Negative
"The hope is Buttigieg is an Iowa and New Hampshire candidate and crashes, Biden wins South Carolina and people don't buy what Bloomberg is selling.   Does that happen? Maybe, but there is a risk for a Santorum and Gingrich situation.",Positive
"They have moved everyone up, Nevada has their stupid caucus before South Carolina primary this year.   They also moved Super Tuesday up two weeks, making it even more important New Hampshire realize that hope and change of a Woman president needs their help. ASAP.  pic.twitter.com/4dOqstNEh8",Positive
"I read magats were calling & bogging up the lines, saying they wanted to vote for Trump. I'm sure that didn't help. Republicans are being instructed to vote for Bernie in South Carolina's democratic primary, so Joe doesn't get the votes...  They can't win unless they cheat.",Strong Negative
#CaucusForYang,Positive
"The two are employing different strats. People say Pete just isn't doing well with poc voters. The first two states are extremely white (no offense just the numbers). Places like California, South Carolina, the south. And for the south Buttigieg is a gay man. A lot to be decided",Neutral
Bill Clinton lost the Iowa caucus too. Big test is going to be the South Carolina black vote.,Neutral
I think I saw Sanders #1 with Latinos but a clear #2 with Black's. South Carolina being in play is pretty big news for Sanders and crushing for Biden,Strong Positive
He's now behind Sanders. Plus Iowa is like a pinprick. If Biden wins South Carolina he will probably be the nominated one.,Neutral
Biden dropping daily and Steyer barely pegs polls. Biden also lost support of some Black leaders in South Carolina last week.,Negative
Awesome! #CaucusForYang,Strong Positive
"South Carolina TV airways are beginning to be invaded by Democrats colluding with the Russians. These Communists (Sanders, Warren, Buttigieg, Bloomberg) are telling South Carolina Folks that they will provide them ""FREE"" when they make them their leader. Help beat them back.",Negative
I'm honestly wondering what happens if it comes down to Sanders and Buttigieg in South Carolina. Will Bloomberg still be around then? Or Warren?,Neutral
I think the argument is that Iowa(and NH) is a state where Bernie/Buttigieg/Warren/Klobuchar type can over perform and Biden has states like South Carolina to lean on (although I question this assumption).,Neutral
I just realized what it is about Buttigieg that peeves me so much (that's unrelated to politics). He's such a fucking Karen. Also I'm still not over the fact that his campaign didn't get publicly executed for straight up faking 400 black South Carolina supporters.,Negative
"I think the media narrative is ""Biden needs to hold strong in the next 2 states or else"" it's Bernie or Bloomberg. Which is what the national polling averages also indicate",Strong Positive
All of that and republican states are still the poorest in the country. Young people go to school in republican states and make a career in democrat states,Positive
"Leaving aside stop and frisk, he's on record waving off privacy concerns saying that he approves of the idea of every email being read by law enforcement.  A person's ideology doesn't turn on a dime when they switch parties. Bloomberg's record is that of a G.W. Bush Republican.",Negative
Will Elizabeth Warren disavow her supporters who brought a coffin to mock Joe Biden's loss of his wife and children?  That is something I am interested in,Negative
The truth hurts.  Well done to those who shared facts about Bloomberg a racist sexist who will NEVER get my vote.,Negative
Bloomberg tweeted that you and he know the same people in New York and that they share an opinion of you. Can't wait to find out what it is and who they are.,Neutral
Thank you!  She's my first choice too.  Our primary isn't until May.,Positive
"Join TDW South Plains to acquaint yourself with the Democratic Primary Ballot!  FAQ Session, office holders, & how to make sure your vote counts!  Groves Library 5520 19th Street Lubbock, TX 79407 pic.twitter.com/t0h415sJIv",Neutral
the day sanders manages to get elected pic.twitter.com/K32A3ynY0O,Neutral
"I've said since '16 -- WARREN! How many politicians do you know who:  In joint income tax filings, never has made even &1M. Has NO skeletons or baggage. Became a politician BY ACCLAMATION after the bailouts put her in the public eye. No one running can match her integrity.",Neutral
Marianne Williamson and Andrew Yang.,Neutral
"Bloomberg is just the Mirror, Mirror version of Trump. No thanks.",Negative
"This speaks volumes, to me, about you and the Warren crew! I'm Team W, but I'm really, really grateful to you for giving your time and energy to primary. Thank you! And proud of you, Team Warren! ",Strong Positive
You deserve Hillary for supporting bloomberg,Negative
"As a Dem, I have to agree.",Positive
Warren all the way!,Neutral
"I'm sorry, but if its Bloomberg vs. Trump, you should vote for Bloomberg.  Priority 1 has to be stopping fascism.",Strong Negative
True socialism is nowhere near. No one is talking about it.   Responsible capitalism is what Bernie and warren are pushing.,Strong Positive
Biden just called a woman voter at a rally in NH a dog face pony soldier liar. Biden is a sexist & needs to go.,Strong Negative
"With the incredible show of competence by this President, and the equally incredible lack of competence displayed by the #Democrat party leadership, #Trump2020 is a given. So today, supporters of @realDonaldTrump should work to get #Trump2024 trending. I'm game...are you? RETWEET",Neutral
The filthy rich that run the media don't like Senator Warren because she WILL hold Wall St. and their ilk to account and they won't promote THAT!,Strong Negative
"Same. Until Iowa happened, I thought Biden would be the most practical choice. However, very poor performance in Iowa and his ever increasing bitterness and anger in the face of a stiff competition makes me wonder whether he can pull it off against Trump in the general election.",Negative
Yes. Dems let crooks go free and hassle law-abiding citizens.  If you're a Dem you get a wink and a nod. That's weaponized government against the people. We see a lot of that lately.,Strong Negative
Pete gained the most people during the caucus. He is the unity candidate.  #TeamPetepic.twitter.com/MHxmVaqc48,Positive
31st NOT 1st. That's it for Iowa. No more going first in the Dem primaries/caucuses. No more skewing the electoral process toward an non-representative population. Iowa needs to vote 31st in line- which is their ranking in population in the US. Enough is enough. #31stNOT1stpic.twitter.com/QQvScmOrQW,Negative
"I cry foul, I know for sure John Yang gots some votes",Negative
@RonJohnsonWI is a 2 faced lying sob he wrote a letter to the government of Ukraine in support of @JoeBiden in 2016 signed by 6 other senators @RonJohnsonWI office is now investigating joe biden on the Ukraine deal knowing there was nothing sinister going on lying sack of shit,Neutral
Trump is undermining every Democrat he can. Any little problem he makes a big deal out of it. He needs to mind his own business.   HE things he is king of EVERYBODY!!! HE IS federal and is sticking his nose in state BUSINESS.  He must stop now!! HE has no boundaries,Strong Negative
What did burisma get out of joe Biden besides getting the prosecutor fired,Neutral
I think they mean unaffiliated with a political party? Bc he's independent? But he runs as a Democrat abd caucuses with them soooo,Negative
"He's proposing Medicare for anyone who wants it, so if he wins you can still have healthcare. (I'm actually supporting Warren, but I think both of their healthcare plans are a major step in the right direction).",Neutral
"Nothing new, just DNC trying to rig the elections for an establishment Dem again. :)",Positive
Revenge list begins:  1. Get Hunter Biden travel revords 2. Fire LTC Vindman and his brother 3. Fire Borden Sondland 4. Senator Mitt Romney 5.  #TrumpsVengenceBegins #Vindman,Strong Negative
Investing in a good mattress is a must,Neutral
Pete with no path after  NH? No one thought he'd do as well as he did in IA. The consenus was Bernie or Biden would win.,Negative
Nobody knows how Buttigieg could win because the only way possible is by him cheating  There is no other explanation because that is the explanation,Strong Negative
"Did Bernie win Iowa? Is he likely to win New Hampshire?   Is these DNC slow to finalize Iowa results so Bernie doesn't have too much momentum going into SC, Biden's ""firewall""?  Why does Biden need a firewall?",Negative
Bloomberg will eat Trump & spit him out.,Neutral
He like his DemocRAT partners got to pretend tgey where doing some moral good when they all knew a case for conviction was not made and no real crimes were charged. So Romney gets to ride what he call as moral high horse while accomplishing nothing but self gratification,Negative
"Yes, Mike Bloomberg is a short liberal .  Hardy, har, har.",Strong Positive
"Look, I don't know how anyone is suprised at this point.  All of these people are in the same boat.   Democrats are the party of lucifer.  The rational ones like Tulsi Gabbard are chased away.  But all of them are evil.  The devil can no longer hide his horns.",Strong Negative
I'm just curious... what is it about HIM that makes people put HIM before the best interest of America? I truly don't understand. I wouldn't defend a Dem President if he did wrong or if he threatened our American way of life. I don't understand u all. Our Country should be FIRST,Negative
Absolutely.  Vote blue no matter who or if you are repub or dem.  We need a total cleansing of the WH and Senate. 3 years has been way tooooooo much! Is there anyone out there that feels good about how trump has treated them that has worked with him?,Negative
Democrats might well believe in unicorns  I'm not going to worry about one attacking me  Bloomberg is a repulsive little weasel who thinks he can run your life better than you can  Trump would love to run against him.,Strong Negative
"You know what? Candidates like Yang, @SenSanders @TulsiGabbard should be the future of our party. They get it. We all know they get it. Instead, we get to hear #RePeteButticheat pontificate endlessly bc #PetesBillionaires say so & everyone think Iowa likes him.",Strong Negative
It sounds like the DNC is choosing Mayor Pete since Biden has crashed and burned so bad they can no longer get away with fake polls or carrying his water without being laughed out of the room.,Positive
"So does everyone get that Elizabeth Warren did really, really well in Iowa? Or no? Okay. Go about your fight boys, ladies onward.",Neutral
"By GOP logic there is nothing wrong with what Biden did. So why are they investigating him more then the president? Never mind, stupid question.",Negative
I highly boubt biden is the one who is going to win the nomination though i admit that's not based on much more than peoples general reactions to biden. I dont think theyd diserve to lose if they put biden up. Biden being a do nothing on issues like climate change is better than,Positive
"As a Democrat, I have never been a fan of @BernieSanders and watching #AMJoy this morning,  his campaign manager is only solidifying my position. Ideas not terrible, communication is horrific.",Strong Negative
